ECC3011,ECC3005,SKP3112,SKP3122,PRT2009,SKP2101,QKS2102
3,3,2,2,2,3,1
ECC3012,ECC3116,LPE2301,ECC3115,QKS2120,LPJ2102
3,4,3,4,1,3
ECC3013,ECC3117,ECC3304,LPE2501,ECC3112
3,4,4,3,3
ECC3014,ECC3118,ECC3119,ECC3120,ECC3121
3,4,4,3,3
ECC3113,ECC3204,ECC3403,ECC3702,EMM3612
4,3,3,4,3
ECC3114,ECC3205,ECC3303,ECC3404,ECC3603,ECC3904
3,3,3,3,4,1
ECC4911,ECC4949A,ECC4947,ECC4505,ECC4208,ECC4602
5,2,4,3,3,3
ECC4949B,ECV3011,ECC4305,ECC4306
4,3,3,3
